,imdb_title_id,title,year,release_month,release_weekday,duration,country1,language,production_company,IMDb rating,votes,director,f-dir,movie_count,writer,f-wr,Genre1,Genre2,Main Actor1,Main Actor2,Main Actor3,f-ac,usa_gross_income,worlwide_gross_income,budget,f-rated,YearGp
0,tt0037059,Meet Me in St. Louis,1944,1,Monday,113,USA,English,Metro-Goldwyn-Mayer (MGM),7.6,19887,Vincente Minnelli,0.0,3,Sally Benson,1.0,Comedy,Drama,Judy Garland,Margaret O'Brien,Mary Astor,1.0,5933845.086988635,7145712.889318181,$ 1700000,2.0,Classic
1,tt0042803,Olivia,1951,4,Friday,95,France,Italian,Filmsonor,6.9,291,Jacqueline Audry,1.0,1,Colette Audry,1.0,Comedy,Drama,Edwige Feuillère,Simone Simon,Marie-Claire Olivia,1.0,98885.71053846153,98885.71053846153,,3.0,Classic
2,tt0060959,Sedmikrásky,1966,12,Friday,74,Czechoslovakia,Czech,Filmové studio Barrandov,7.4,9699,Vera Chytilová,1.0,1,Vera Chytilová,1.0,Comedy,,Jitka Cerhová,Ivana Karbanová,Julius Albert,0.67,109371.61148148151,109371.61148148151,,2.67,Classic
3,tt0073817,Travolti da un insolito destino nell'azzurro mare d'agosto,1974,9,Wednesday,114,Italy,Italian,Medusa Distribuzione,7.6,5318,Lina Wertmüller,1.0,3,Lina Wertmüller,1.0,Adventure,Comedy,Giancarlo Giannini,Mariangela Melato,Riccardo Salvino,0.33,41346.76340770791,41346.76340770791,,2.33,Classic
4,tt0075040,Pasqualino Settebellezze,1975,12,Saturday,116,Italy,Italian,Medusa Distribuzione,7.8,4898,Lina Wertmüller,1.0,3,Lina Wertmüller,1.0,Comedy,Drama,Giancarlo Giannini,Fernando Rey,Shirley Stoler,0.33,59690.09085501858,59690.09085501858,,2.33,Classic
5,tt0135024,Une vraie jeune fille,1976,9,Friday,93,France,French,Artédis,5.3,3434,Catherine Breillat,1.0,7,Catherine Breillat,1.0,Drama,,Charlotte Alexandra,Hiram Keller,Rita Maiden,0.67,78439.29165202109,78439.29165202109,,2.67,Classic
6,tt0076855,L'une chante l'autre pas,1977,3,Wednesday,120,France,English,Ciné-tamaris,7.3,1225,Agnès Varda,1.0,1,Agnès Varda,1.0,Drama,History,Thérèse Liotard,Valérie Mairesse,Robert Dadiès,0.67,85070.23612211221,85070.23612211221,,2.67,Classic
7,tt0077942,Moment by Moment,1978,12,Friday,102,USA,English,Robert Stigwood Organization (RSO),3.0,1042,Jane Wagner,1.0,1,Jane Wagner,1.0,Drama,Romance,Lily Tomlin,John Travolta,Andra Akers,0.67,43520832.10527607,43520832.10527607,$ 8000000,2.67,Classic
8,tt0084021,Grease 2,1982,6,Friday,115,USA,English,Paramount Pictures,4.4,32178,Patricia Birch,1.0,1,Patricia Birch,1.0,Comedy,Drama,Maxwell Caulfield,Michelle Pfeiffer,Lorna Luft,0.67,40689584.19726425,40689584.19726425,$ 13200000,2.67,Classic
9,tt0086525,Valley Girl,1983,4,Friday,99,USA,English,Atlantic Entertainment Group,6.4,12965,Martha Coolidge,1.0,10,Martha Coolidge,1.0,Comedy,Romance,Nicolas Cage,Deborah Foreman,Elizabeth Daily,0.67,45067403.85899598,45067403.85899598,$ 350000,2.67,Classic
10,tt0086429,Testament,1983,1,Thursday,90,USA,English,Paramount Pictures,6.9,5607,Lynne Littman,1.0,1,Lynne Littman,1.0,Drama,,Jane Alexander,William Devane,Rossie Harris,0.33,5313660.07441767,5313660.07441767,,2.33,Classic
11,tt0085370,Coup de foudre,1983,4,Wednesday,110,France,French,Partner's Productions,7.1,1563,Diane Kurys,1.0,4,Diane Kurys,1.0,Biography,Drama,Miou-Miou,Isabelle Huppert,Guy Marchand,0.67,10328988.50125502,10328988.50125502,,2.67,Classic
12,tt0085871,Love Letters,1983,4,Friday,88,USA,English,Millenium,5.9,650,Amy Holden Jones,1.0,3,Amy Holden Jones,1.0,Drama,Romance,Jamie Lee Curtis,Bonnie Bartlett,Matt Clark,0.67,13694090.179618472,13694090.179618472,$ 550000,2.67,Classic
13,tt0087751,Mrs. Soffel,1984,2,Friday,110,USA,English,Edgar J. Scherick Associates,6.1,2936,Gillian Armstrong,1.0,5,Gillian Armstrong,1.0,Drama,Romance,Diane Keaton,Mel Gibson,Matthew Modine,0.33,10923647.58452358,10923647.58452358,$ 11000000,2.33,Classic
14,tt0087507,Johnny Dangerously,1984,12,Friday,90,USA,English,Edgewood Productions,6.6,13024,Amy Heckerling,1.0,8,Amy Heckerling,1.0,Comedy,Crime,Michael Keaton,Joe Piscopo,Marilu Henner,0.33,42656225.16212704,42656225.16212704,$ 9000000,2.33,Classic
15,tt0087513,Joy of Sex,1984,8,Friday,93,USA,English,Paramount Pictures,3.6,679,Martha Coolidge,1.0,10,Martha Coolidge,1.0,Comedy,Romance,Cameron Dye,Michelle Meyrink,Colleen Camp,0.67,11119260.375851778,11119260.375851778,,2.67,Classic
16,tt0089886,Real Genius,1985,8,Wednesday,108,USA,English,Delphi III Productions,7.0,29787,Martha Coolidge,1.0,10,Martha Coolidge,1.0,Comedy,Romance,Val Kilmer,Gabriel Jarret,Michelle Meyrink,0.33,31153577.968485124,31153577.968485124,$ 8000000,2.33,Classic
17,tt0090037,Smooth Talk,1985,11,Sunday,92,UK,English,American Playhouse,6.2,1664,Joyce Chopra,1.0,2,Joyce Chopra,1.0,Drama,Romance,Treat Williams,Laura Dern,Mary Kay Place,0.67,40373.072815985135,40373.072815985135,$ 2400000,2.67,Classic
18,tt0090206,3 hommes et un couffin,1985,9,Wednesday,106,France,French,Flach Film,6.6,3294,Coline Serreau,1.0,3,Coline Serreau,1.0,Comedy,,Roland Giraud,Michel Boujenah,André Dussollier,0.0,4936810.203773233,4936810.203773233,,2.0,Classic
19,tt0089015,Desert Hearts,1985,6,Thursday,91,USA,English,Desert Hearts Productions,7.0,4992,Donna Deitch,1.0,1,Natalie Cooper,1.0,Drama,Romance,Helen Shaver,Patricia Charbonneau,Audra Lindley,1.0,5994235.942081784,5994235.942081784,$ 1250000,3.0,Classic
20,tt0089017,Desperately Seeking Susan,1985,4,Friday,104,USA,English,Orion Pictures,6.0,20579,Susan Seidelman,1.0,7,Leora Barish,1.0,Comedy,Drama,Rosanna Arquette,Madonna,Aidan Quinn,0.67,65901997.43144981,65901997.43144981,$ 4500000,2.67,Classic
21,tt0088885,The Care Bears Movie,1985,3,Saturday,77,Canada,English,Nelvana,5.7,5095,Arna Selznick,1.0,1,Linda Edwards,1.0,Animation,Adventure,Mickey Rooney,Jackie Burroughs,Georgia Engel,0.67,55164799.76247211,55164799.76247211,$ 2000000,2.67,Classic
22,tt0091642,Nobody's Fool,1986,5,Friday,107,USA,English,Island Pictures,5.4,738,Evelyn Purcell,1.0,1,Beth Henley,1.0,Comedy,Drama,Rosanna Arquette,Eric Roberts,Mare Winningham,0.67,1330321.59979927,1330321.59979927,,2.67,Classic
23,tt0091583,My Little Girl,1986,5,Friday,118,USA,English,Black Swan Productions,4.6,279,Connie Kaiserman,1.0,1,Connie Kaiserman,1.0,Drama,,James Earl Jones,Geraldine Page,Mary Stuart Masterson,0.67,59035.355839416065,59035.355839416065,,2.67,Classic
24,tt0091306,Jumpin' Jack Flash,1986,4,Friday,105,USA,English,Lawrence Gordon Productions,5.9,17850,Penny Marshall,1.0,7,Penny Marshall,1.0,Comedy,Romance,Whoopi Goldberg,Stephen Collins,John Wood,0.33,70474284.88969891,70474284.88969891,,2.33,Classic
25,tt0093605,Near Dark,1987,8,Wednesday,94,USA,English,F/M,7.0,32855,Kathryn Bigelow,1.0,6,Kathryn Bigelow,1.0,Action,Crime,Adrian Pasdar,Jenny Wright,Lance Henriksen,0.33,7676177.059656689,7676177.059656689,$ 5000000,2.33,Classic
26,tt0095875,Plain Clothes,1987,3,Thursday,98,USA,English,Paramount Pictures,6.4,828,Martha Coolidge,1.0,10,Martha Coolidge,1.0,Comedy,Mystery,Arliss Howard,Suzy Amis,George Wendt,0.33,659154.7090933098,659154.7090933098,$ 7500000,2.33,Classic
27,tt0093969,Siesta,1987,6,Thursday,97,USA,English,Lorimar Motion Pictures,5.6,2087,Mary Lambert,1.0,4,Mary Lambert,1.0,Drama,Mystery,Ellen Barkin,Gabriel Byrne,Julian Sands,0.33,1594786.0915492957,1594786.0915492957,,2.33,Classic
28,tt0092767,Cold Steel,1987,4,Saturday,91,USA,English,Cinetel Films,4.6,674,Dorothy Ann Puzo,1.0,1,Lisa M. Hansen,1.0,Action,Thriller,Brad Davis,Sharon Stone,Jonathan Banks,0.33,651322.0311179578,651322.0311179578,,2.33,Classic
29,tt0092537,The Allnighter,1987,5,Friday,108,USA,English,Aurora Productions LLC,4.3,1051,Tamar Simon Hoffs,1.0,1,Tamar Simon Hoffs,1.0,Comedy,Romance,Susanna Hoffs,Dedee Pfeiffer,Joan Cusack,1.0,6151317.78169014,6151317.78169014,,3.0,Classic
30,tt0093239,I've Heard the Mermaids Singing,1987,3,Thursday,81,Canada,English,National Film Board of Canada (NFB),6.7,1381,Patricia Rozema,1.0,3,Patricia Rozema,1.0,Comedy,Drama,Sheila McCarthy,Paule Baillargeon,Ann-Marie MacDonald,1.0,3208916.9383890843,3208916.9383890843,CAD 362000,3.0,Classic
31,tt0093278,Ishtar,1987,12,Wednesday,107,USA,English,Columbia Pictures,4.4,10110,Elaine May,1.0,1,Elaine May,1.0,Action,Adventure,Warren Beatty,Dustin Hoffman,Isabelle Adjani,0.33,32750483.88900528,32750483.88900528,$ 55000000,2.33,Classic
32,tt0093379,Lady Beware,1987,5,Friday,112,USA,English,International Video Entertainment (IVE),5.9,841,Karen Arthur,1.0,1,Karen Arthur,1.0,Thriller,,Diane Lane,Michael Woods,Cotter Smith,0.33,386393.8873239436,386393.8873239436,,2.33,Classic
33,tt0093036,Flowers in the Attic,1987,5,Thursday,93,USA,English,Fries Entertainment,5.8,9151,Jeffrey Bloom,0.0,1,Virginia C. Andrews,1.0,Drama,Mystery,Louise Fletcher,Victoria Tennant,Kristy Swanson,1.0,34519682.62232394,34519682.62232394,,2.0,Classic
34,tt0096037,Satisfaction,1988,2,Friday,92,USA,English,National Broadcasting Company (NBC),5.0,3305,Joan Freeman,1.0,1,Joan Freeman,1.0,Comedy,Music,Justine Bateman,Liam Neeson,Trini Alvarado,0.67,18055782.052011836,18055782.052011836,,2.67,Classic
35,tt0096028,Salaam Bombay!,1988,12,Tuesday,113,UK,Hindi,Cadrage,8.0,8408,Mira Nair,1.0,9,Mira Nair,1.0,Crime,Drama,Shafiq Syed,Hansa Vithal,Chanda Sharma,0.67,4550623.713491124,4552181.3925443785,,2.67,Classic
36,tt0095646,Missing Link,1988,11,Friday,91,USA,English,Guber-Peters-Barris Productions,6.1,334,Carol Hughes,1.0,1,Carol Hughes,1.0,Adventure,,Peter Elliott,Michael Gambon,Brian Abrahams,0.0,13404.353313609468,13404.353313609468,,2.0,Classic
37,tt0100684,State Park,1988,11,Friday,87,USA,English,Cinépix,4.7,294,Kerry Feltham,1.0,1,Kerry Feltham,1.0,Comedy,,Kim Myers,Isabelle Mejias,James Wilder,0.67,921.043372781065,921.043372781065,,2.67,Classic
38,tt0096152,Spellbinder,1988,9,Friday,99,USA,English,Metro-Goldwyn-Mayer (MGM),5.8,2099,Janet Greek,1.0,1,Janet Greek,1.0,Drama,Horror,Tim Daly,Kelly Preston,Rick Rossovich,0.33,1438328.459053254,1438328.459053254,,2.33,Classic
39,tt0094846,Casual Sex?,1988,4,Friday,97,USA,English,Jascat,5.0,3671,Geneviève Robert,1.0,1,Geneviève Robert,1.0,Comedy,,Lea Thompson,Victoria Jackson,Stephen Shellen,0.67,26859234.93538461,26859234.93538461,,2.67,Classic
40,tt0094868,Chocolat,1988,5,Wednesday,105,France,French,Caroline Productions,7.3,2649,Claire Denis,1.0,8,Claire Denis,1.0,Drama,,Isaach De Bankolé,Giulia Boschi,François Cluzet,0.33,5075148.069408284,5075148.069408284,,2.33,Classic
41,tt0094921,Crossing Delancey,1988,4,Thursday,97,USA,English,Warner Bros.,6.9,3532,Joan Micklin Silver,1.0,3,Susan Sandler,1.0,Comedy,Romance,Amy Irving,Peter Riegert,Reizl Bozyk,0.67,35578122.47307692,35578122.47307692,$ 4000000,2.67,Classic
42,tt0094737,Big,1988,9,Thursday,104,USA,English,American Entertainment Partners II L.P.,7.3,193630,Penny Marshall,1.0,7,Penny Marshall,1.0,Comedy,Drama,Tom Hanks,Elizabeth Perkins,Robert Loggia,0.33,252088654.4623077,332379133.75224847,$ 18000000,2.33,Classic
43,tt0093240,Ich und er,1988,1,Tuesday,93,West Germany,German,Constantin Film,4.4,455,Doris Dörrie,1.0,2,Doris Dörrie,1.0,Comedy,Fantasy,Griffin Dunne,Ellen Greene,Kelly Bishop,0.67,172425.44508875738,172425.44508875738,,2.67,Classic
44,tt0098300,Shag,1989,7,Friday,98,UK,English,Palace Pictures,6.4,3726,Zelda Barron,1.0,1,Zelda Barron,1.0,Comedy,Drama,Phoebe Cates,Scott Coffey,Bridget Fonda,0.67,14522584.417137096,14522584.417137096,$ 5000000,2.67,Classic
45,tt0098725,Sweetie,1989,9,Thursday,97,Australia,English,Arenafilm,6.8,3271,Jane Campion,1.0,7,Jane Campion,1.0,Comedy,Drama,Geneviève Lemon,Karen Colston,Tom Lycos,0.67,1957915.6509274198,1958952.9821129031,,2.67,Classic
46,tt0100003,The Lemon Sisters,1989,8,Friday,93,USA,English,Lightyear Entertainment,5.2,697,Joyce Chopra,1.0,2,Joyce Chopra,1.0,Comedy,Drama,Diane Keaton,Carol Kane,Kathryn Grody,1.0,7250684.088346774,7250684.088346774,$ 9000000,3.0,Classic
47,tt0098528,True Love,1989,9,Friday,104,USA,English,United Artists,6.0,675,Nancy Savoca,1.0,5,Nancy Savoca,1.0,Comedy,Romance,Annabella Sciorra,Ron Eldard,Aida Turturro,0.67,2826608.5108709675,2826608.5108709675,,2.67,Classic
48,tt0097109,Cookie,1989,8,Wednesday,94,USA,English,Lorimar Film Entertainment,5.4,1159,Susan Seidelman,1.0,7,Nora Ephron,1.0,Comedy,Crime,Peter Falk,Dianne Wiest,Emily Lloyd,0.67,3901820.0257016127,3901820.0257016127,,2.67,Classic
49,tt0097778,Look Who's Talking,1989,10,Friday,93,USA,English,TriStar Pictures,5.9,76037,Amy Heckerling,1.0,8,Amy Heckerling,1.0,Comedy,,John Travolta,Kirstie Alley,Olympia Dukakis,0.67,292391336.9463145,619893698.4059919,$ 7500000,2.67,Classic
50,tt0100639,Slumber Party Massacre III,1990,9,Friday,87,USA,English,Concorde Pictures,4.7,2361,Sally Mattison,1.0,1,Catherine Cyran,1.0,Comedy,Horror,Keely Christian,Brittain Frye,Michael Harris,0.33,2461367.857268554,2461367.857268554,$ 350000,2.33,Classic
51,tt0100774,Thousand Pieces of Gold,1990,11,Friday,105,USA,English,American Playhouse,6.9,549,Nancy Kelly,1.0,1,Nancy Kelly,1.0,Romance,Western,Rosalind Chao,Chris Cooper,Michael Paul Chan,0.33,1421325.8538026013,1421325.8538026013,,2.33,Classic
52,tt0100050,Look Who's Talking Too,1990,12,Friday,81,USA,English,TriStar Pictures,4.7,43854,Amy Heckerling,1.0,8,Amy Heckerling,1.0,Comedy,Family,John Travolta,Kirstie Alley,Olympia Dukakis,0.67,94631507.50584546,94631507.50584546,,2.67,Classic
53,tt0099040,An Angel at My Table,1990,11,Friday,158,New Zealand,English,Hibiscus Films,7.5,6484,Jane Campion,1.0,7,Jane Campion,1.0,Biography,Drama,Kerry Fox,Alexia Keogh,Karen Fergusson,1.0,2088384.9687681715,2091072.0883320584,,3.0,Classic
54,tt0099077,Awakenings,1990,1,Friday,121,USA,English,Columbia Pictures,7.8,120743,Penny Marshall,1.0,7,Penny Marshall,1.0,Biography,Drama,Robert De Niro,Robin Williams,Julie Kavner,0.33,103160985.39575364,103160985.39575364,$ 31000000,2.33,Classic
55,tt0099160,Blue Steel,1990,5,Thursday,102,USA,English,Lightning Pictures,5.7,12015,Kathryn Bigelow,1.0,6,Kathryn Bigelow,1.0,Action,Crime,Jamie Lee Curtis,Ron Silver,Clancy Brown,0.33,16273205.97985463,16273205.97985463,,2.33,Classic
56,tt0099200,La Baule-les-Pins,1990,2,Wednesday,110,France,French,Alexandre Films,6.2,596,Diane Kurys,1.0,4,Diane Kurys,1.0,Drama,Romance,Nathalie Baye,Richard Berry,Zabou Breitman,0.67,1594988.6288599847,6586448.8618821725,,2.67,Classic
57,tt0099832,Impulse,1990,4,Friday,109,USA,English,Warner Bros.,5.6,1147,Sondra Locke,1.0,1,Leigh Chapman,1.0,Crime,Drama,Theresa Russell,Jeff Fahey,George Dzundza,0.33,5038604.62696251,5038604.62696251,$ 9000000,2.33,Classic
58,tt0102721,Proof,1991,8,Thursday,86,Australia,English,House & Moorhouse Films,7.2,6100,Jocelyn Moorhouse,1.0,3,Jocelyn Moorhouse,1.0,Drama,Romance,Hugo Weaving,Geneviève Picot,Russell Crowe,0.33,996988.6178267255,996988.6178267255,,2.33,90s
59,tt0102820,Rush,1991,1,Friday,120,USA,English,Metro-Goldwyn-Mayer (MGM),6.8,7736,Lili Fini Zanuck,1.0,1,Lili Fini Zanuck,1.0,Action,Crime,Jason Patric,Jennifer Jason Leigh,Sam Elliott,0.33,13760213.178046988,13760213.178046988,$ 17000000,2.33,90s
60,tt0102753,Rambling Rose,1991,9,Friday,112,USA,English,Carolco Pictures,6.6,4570,Martha Coolidge,1.0,10,Martha Coolidge,1.0,Drama,,Laura Dern,Robert Duvall,Diane Ladd,0.67,11908006.22342878,11908006.22342878,$ 7500000,2.67,90s
61,tt0102456,Mississippi Masala,1991,1,Friday,118,USA,English,Black River Productions,6.6,4660,Mira Nair,1.0,9,Mira Nair,1.0,Drama,Romance,Denzel Washington,Sarita Choudhury,Roshan Seth,0.33,13888356.9269163,13888356.9269163,,2.33,90s
62,tt0102566,Nuit et jour,1991,8,Wednesday,92,Belgium,French,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,6.4,371,Chantal Akerman,1.0,1,Chantal Akerman,1.0,Drama,,Guilaine Londez,Thomas Langmann,François Négret,0.33,12155.755998531573,12155.755998531573,,2.33,90s
63,tt0102631,Paradise,1991,10,Friday,111,USA,English,Grand Highway Productions,6.7,2658,Mary Agnes Donoghue,1.0,2,Mary Agnes Donoghue,1.0,Drama,,Melanie Griffith,Don Johnson,Elijah Wood,0.33,35410063.06514684,35410063.06514684,,2.33,90s
